"mal_id","title_english","type","source","airing","year","rating","score","members","favorites","producers","licensors","studios","genres"
56040,"Shi Wangzhe A? 2nd Season","ONA","Game",FALSE,2023,"PG-13 - Teens 13 or older",NA,384,0,"","","","Comedy, Fantasy"
56247,"Adventure Log","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.66,384,1,"","","YURUPPE Inc.","Adventure, Sci-Fi"
56703,"MARO17: Utakata feat. TETSU","CM","Other",FALSE,2023,"G - All Ages",6.27,359,0,"","","MAPPA","Slice of Life"
55948,"Sylvanian Families: Freya no Go for Dream!","TV","Other",FALSE,2023,"G - All Ages",NA,347,3,"","","LandQ studios","Slice of Life"
55746,"War of Wind & Fire","ONA","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,342,1,"iQIYI","","","Action, Sci-Fi"
56401,"Dawn Mellow","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.25,337,0,"Hololive Production","","","Sci-Fi"
56095,"Kyuuseishu","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.59,326,0,"","","",""
56041,"Epoch of Dragon","ONA","Web novel",FALSE,2023,"PG-13 - Teens 13 or older",NA,320,1,"Shenman Entertainment","","","Action, Fantasy"
55856,"Fallen Mystic Master Episode 0","ONA","Other",FALSE,2023,"PG-13 - Teens 13 or older",NA,317,0,"Tencent Animation & Comics, Tencent Penguin Pictures","","Medo","Action, Fantasy"
56674,"Balala The Fairies: Star Fate Butterfly Awakening","TV","Original",FALSE,2023,"PG - Children",NA,310,0,"","","",""
56474,"Blue Planet","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.57,309,0,"","","OTOIRO","Sci-Fi"
56900,"Project Voltage","Music","Mixed media",FALSE,2023,"G - All Ages",6.7,302,1,"","","",""
56682,"Evolution","Music","Game",FALSE,2023,"PG-13 - Teens 13 or older",6.33,300,0,"","","",""
56771,"Valoran Town","ONA","Game",FALSE,2023,"PG-13 - Teens 13 or older",NA,298,2,"","","Fenz","Comedy"
56210,"Neoki Yashinoki","Music","Original",FALSE,2023,"G - All Ages",6.35,297,1,"","","",""
56191,"I Like U","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.2,286,0,"","","Arch","Sci-Fi"
59622,"Kabigon to Nani Shite Kutsurogu?","ONA","Game",FALSE,2023,"G - All Ages",6.23,282,0,"","","Liberty Animation Studio, R11R","Fantasy, Slice of Life"
55891,"Cosmic Rendezvous","Music","Original",FALSE,2023,"PG-13 - Teens 13 or older",6.35,280,0,"","","OTOIRO","Romance"
56993,"Solved with a Bang! Koyori-chan","ONA","Other",TRUE,2023,"PG-13 - Teens 13 or older",NA,275,1,"","","","Comedy"
57397,"Ain't Backing Down","Music","Game",FALSE,2023,"PG-13 - Teens 13 or older",6.31,268,0,"","","ARCUS, Windy Studio",""
56493,"Rondo","Music","Game",FALSE,2023,"PG-13 - Teens 13 or older",6.31,265,0,"","","",""
57238,"Dreamfaireez","ONA","Game",FALSE,2023,"G - All Ages",5.97,262,0,"","","Volca","Fantasy"
58428,"Utaimashou Narashimashou","Music","Original",FALSE,2023,"G - All Ages",6.32,252,1,"","","",""
57186,"Heart Cocktail Colorful: Natsu-hen","TV","Original",FALSE,2023,"PG-13 - Teens 13 or older",NA,241,0,"NHK","","","Romance"
56916,"Rainbow Bubblegem","TV","Original",FALSE,2023,"PG - Children",NA,235,0,"Campfire Aniworks","","","Fantasy"
