"title_english","type","source","year","rating","score","members","favorites","studios","genres"
"Kizumonogatari Part 3: Cold-Blooded","Movie","Light novel",2017,"R - 17+ (violence & profanity)",8.78,485520,7843,"Shaft","Action, Mystery, Supernatural"
"Gabriel DropOut","TV","Manga",2017,"PG-13 - Teens 13 or older",7.43,470668,3148,"Doga Kobo","Comedy, Supernatural"
"Interviews With Monster Girls","TV","Manga",2017,"PG-13 - Teens 13 or older",7.52,429572,1508,"A-1 Pictures","Comedy, Fantasy"
"Gintama Season 5","TV","Manga",2017,"PG-13 - Teens 13 or older",8.98,328826,2780,"Bandai Namco Pictures","Action, Comedy, Sci-Fi"
"Kuroko's Basketball the Movie: Last Game","Movie","Manga",2017,"PG-13 - Teens 13 or older",8.07,325543,1095,"Production I.G","Sports"
"Fuuka","TV","Manga",2017,"R+ - Mild Nudity",6.51,307978,910,"Diomedéa","Drama, Romance, Ecchi"
"Seiren","TV","Original",2017,"PG-13 - Teens 13 or older",6.28,248654,474,"Studio Gokumi, AXsiZ","Romance"
"Black Butler: Book of the Atlantic","Movie","Manga",2017,"R - 17+ (violence & profanity)",8.24,212320,1590,"A-1 Pictures","Action, Mystery, Supernatural"
"Descending Stories: Showa Genroku Rakugo Shinju","TV","Manga",2017,"PG-13 - Teens 13 or older",8.7,193285,3203,"Studio Deen","Drama"
"Trinity Seven: Eternity Library & Alchemic Girl","Movie","Manga",2017,"PG-13 - Teens 13 or older",7.23,184902,265,"Seven Arcs Pictures","Action, Comedy, Fantasy, Romance, Ecchi"
"ACCA: 13-Territory Inspection Dept.","TV","Manga",2017,"PG-13 - Teens 13 or older",7.66,171286,1636,"Madhouse","Drama, Mystery"
"Tales of Zestiria the X Season 2","TV","Game",2017,"PG-13 - Teens 13 or older",7.29,165979,213,"ufotable","Action, Adventure, Fantasy"
"Akiba's Trip The Animation","TV","Game",2017,"PG-13 - Teens 13 or older",6.49,156107,309,"Gonzo","Action, Comedy, Fantasy, Ecchi"
"ChäoS;Child","TV","Visual novel",2017,"R - 17+ (violence & profanity)",6.3,136970,224,"SILVER LINK.","Mystery, Sci-Fi, Supernatural, Suspense"
"Urara Meirocho","TV","4-koma manga",2017,"PG-13 - Teens 13 or older",7.11,134487,418,"J.C.Staff","Comedy, Fantasy"
"One Room","TV","Original",2017,"PG-13 - Teens 13 or older",5.56,132163,165,"Typhoon Graphics","Slice of Life"
"Chain Chronicle: The Light of Haecceitas","TV","Game",2017,"PG-13 - Teens 13 or older",6.54,131494,205,"Telecom Animation Film, Graphinica","Action, Adventure, Fantasy"
"Rewrite: Moon and Terra","TV","Visual novel",2017,"PG-13 - Teens 13 or older",7.17,118178,429,"8bit","Action, Comedy, Romance, Supernatural"
"Hand Shakers","TV","Original",2017,"PG-13 - Teens 13 or older",5.24,109717,175,"GoHands","Action, Sci-Fi"
"Super Lovers 2","TV","Manga",2017,"PG-13 - Teens 13 or older",7.02,93689,342,"Studio Deen","Boys Love, Comedy, Drama"
"Overlord: The Undead King","Movie","Light novel",2017,"R - 17+ (violence & profanity)",7.63,92736,142,"Madhouse","Action, Adventure, Fantasy"
"Overlord: The Dark Hero","Movie","Light novel",2017,"R - 17+ (violence & profanity)",7.69,88206,162,"Madhouse","Action, Adventure, Fantasy"
"Kemono Friends","TV","Game",2017,"PG-13 - Teens 13 or older",7.51,84437,1092,"Yaoyorozu","Adventure, Award Winning, Comedy, Fantasy"
"Yowamushi Pedal: New Generation","TV","Manga",2017,"PG-13 - Teens 13 or older",7.63,83753,123,"TMS Entertainment","Sports"
"Nyanko Days","TV","4-koma manga",2017,"PG-13 - Teens 13 or older",6.63,76305,164,"EMT Squared","Slice of Life"
"Digimon Adventure tri. Loss","Movie","Original",2017,"PG-13 - Teens 13 or older",7.28,61126,35,"Toei Animation","Action, Adventure, Comedy, Drama"
"Kabaneri of the Iron Fortress: Life The Burns","Movie","Original",2017,"R - 17+ (violence & profanity)",7.57,55274,52,"Wit Studio","Action, Fantasy, Horror, Suspense"
"Genocidal Organ","Movie","Novel",2017,"R+ - Mild Nudity",7.12,51405,167,"Manglobe, Geno Studio","Sci-Fi"
"elDLIVE","TV","Manga",2017,"PG-13 - Teens 13 or older",6.09,49782,49,"Pierrot","Action, Sci-Fi"
"Reikenzan: Eichi e no Shikaku","TV","Light novel",2017,"PG-13 - Teens 13 or older",6.85,45798,64,"Studio Deen","Comedy, Fantasy"
"Lupin the Third: Goemon's Blood Spray","Movie","Manga",2017,"R+ - Mild Nudity",7.86,42992,155,"Telecom Animation Film","Action, Adventure, Drama"
"Onihei","TV","Novel",2017,"R - 17+ (violence & profanity)",7.28,41812,106,"Studio M2","Action, Drama"
"Napping Princess","Movie","Original",2017,"PG-13 - Teens 13 or older",6.83,41472,37,"Signal.MD","Adventure, Fantasy, Sci-Fi"
"Theatre of Darkness: Yamishibai 4","TV","Original",2017,"PG-13 - Teens 13 or older",5.81,31005,10,"ILCA","Avant Garde, Horror, Supernatural"
"Overlord Movie: Ple Ple Pleiades","Movie","Light novel",2017,"PG-13 - Teens 13 or older",6.85,22989,17,"Studio PuYUKAI","Action, Comedy, Fantasy"
"Minami Kamakura High School Girls Cycling Club","TV","Manga",2017,"PG-13 - Teens 13 or older",6.35,22801,20,"J.C.Staff, A.C.G.T.","Sports"
"Overlord Movie: Manner Movie","Movie","Light novel",2017,"G - All Ages",6.84,22769,27,"Studio PuYUKAI","Comedy"
"Schoolgirl Strikers: Animation Channel","TV","Game",2017,"PG-13 - Teens 13 or older",5.72,20557,20,"J.C.Staff","Action, Sci-Fi"
"Piacevole: My Italian Cooking","TV","Web manga",2017,"PG-13 - Teens 13 or older",5.88,17261,10,"Zero-G","Gourmet, Slice of Life"
"Chain Chronicle: The Light of Haecceitas Part 2","Movie","Game",2017,"PG-13 - Teens 13 or older",6.97,17214,10,"Telecom Animation Film, Graphinica","Action, Adventure, Fantasy"
"MARGINAL #4 the Animation","TV","Music",2017,"PG-13 - Teens 13 or older",6.65,17085,93,"J.C.Staff","Comedy"
"Chain Chronicle: The Light of Haecceitas Part 3","Movie","Game",2017,"PG-13 - Teens 13 or older",6.99,15943,8,"Telecom Animation Film, Graphinica","Action, Adventure, Fantasy"
"Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi","Movie","Light novel",2017,"PG-13 - Teens 13 or older",7.53,15879,14,"Studio Gokumi","Drama"
"Kirakira Pretty Cure A La Mode","TV","Original",2017,"G - All Ages",7.13,14842,154,"Toei Animation","Action, Gourmet"
"Ai-Mai-Mi Surgical Friends","TV","4-koma manga",2017,"PG-13 - Teens 13 or older",6.05,10937,20,"Seven","Comedy"
"Aooni the Movie","Movie","Game",2017,"R - 17+ (violence & profanity)",4.04,8158,2,"Studio Deen","Horror, Mystery"
"Chiruran 1/2","TV","Manga",2017,"PG-13 - Teens 13 or older",5.63,8000,10,"LandQ studios","Action, Comedy"
"Koi Suru Shirokuma","Movie","Manga",2017,"G - All Ages",6.6,7932,21,"Gathering","Boys Love, Comedy"
"Doraemon the Movie 2017: Great Adventure in the Antarctic Kachi Kochi","Movie","Manga",2017,"PG - Children",7.53,7312,8,"Shin-Ei Animation","Adventure, Comedy, Fantasy"
"Yuuki Yuuna wa Yuushabu Shozoku","Movie","4-koma manga",2017,"PG-13 - Teens 13 or older",6.43,5243,5,"W-Toon Studio","Comedy"
"Precure Dream Stars! Movie","Movie","Original",2017,"G - All Ages",7,4621,11,"Toei Animation","Action, Comedy"
"SENGOKUCHOJYUGIGA","TV","Original",2017,"PG-13 - Teens 13 or older",5.85,3168,0,"ILCA","Supernatural"
"Red Ash: Gearworld","Movie","Game",2017,"G - All Ages",5.59,2993,1,"Studio 4°C","Action, Sci-Fi"
"Chou Shounen Tanteidan Neo","TV","Novel",2017,"PG-13 - Teens 13 or older",5.2,2753,2,"DLE","Mystery"
"Zunda Horizon","Movie","Original",2017,"PG-13 - Teens 13 or older",5.53,2398,6,"WAO World, Studio Live","Gourmet"
"PriPara Movie: Mi~nna de Kagayake! Kirarin☆Star Live!","Movie","Game",2017,"PG - Children",7.13,2225,2,"Tatsunoko Production","Slice of Life"
"Inazma Delivery","TV","Original",2017,"PG-13 - Teens 13 or older",6.24,1476,4,"Kanaban Graphics","Action, Comedy, Sci-Fi"
"Pikaia!!","TV","Original",2017,"G - All Ages",5.84,728,2,"OLM","Drama, Slice of Life"
"Tokyo Twins Athletic Tournament","TV","Original",2017,"G - All Ages",5.89,662,4,"Ripromo","Comedy, Sports"
"Backkom Bear: Agent 008","Movie","Original",2017,"G - All Ages",5.57,490,0,"RG Animation Studios","Action, Drama"
"Attack on Titan Season 2","TV","Manga",2017,"R - 17+ (violence & profanity)",8.52,2852574,22163,"Wit Studio","Action, Drama, Suspense"
"My Hero Academia Season 2","TV","Manga",2017,"PG-13 - Teens 13 or older",8.06,2615439,16909,"Bones","Action"
"Boruto: Naruto Next Generations","TV","Manga",2017,"PG-13 - Teens 13 or older",6,896198,7377,"Pierrot","Action, Adventure, Fantasy"
"Akashic Records of Bastard Magic Instructor","TV","Light novel",2017,"R - 17+ (violence & profanity)",7.12,772187,3420,"LIDENFILMS","Action, Fantasy"
"Eromanga Sensei","TV","Light novel",2017,"PG-13 - Teens 13 or older",6.32,744366,2744,"A-1 Pictures","Comedy, Romance, Ecchi"
"Tsukigakirei","TV","Original",2017,"PG-13 - Teens 13 or older",8.03,568215,8023,"feel.","Romance"
"Re:CREATORS","TV","Original",2017,"R - 17+ (violence & profanity)",7.55,524328,3663,"TROYCA","Action, Fantasy"
"Sword Oratoria: Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side","TV","Light novel",2017,"PG-13 - Teens 13 or older",7.08,473148,748,"J.C.Staff","Action, Adventure, Fantasy"
"WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?","TV","Light novel",2017,"PG-13 - Teens 13 or older",7.67,420361,4668,"Satelight, C2C","Drama, Fantasy, Romance, Sci-Fi"
"Armed Girl's Machiavellism","TV","Manga",2017,"PG-13 - Teens 13 or older",6.87,401773,1024,"SILVER LINK., Connect","Action, Comedy, Ecchi"
"Saekano: How to Raise a Boring Girlfriend .flat","TV","Light novel",2017,"PG-13 - Teens 13 or older",7.76,384069,1750,"A-1 Pictures","Comedy, Romance, Ecchi"
"Love Tyrant","TV","Web manga",2017,"PG-13 - Teens 13 or older",6.6,383250,679,"EMT Squared","Comedy, Romance, Supernatural"
"Grimoire of Zero","TV","Light novel",2017,"PG-13 - Teens 13 or older",7.06,280682,619,"White Fox","Action, Adventure, Fantasy"
"Rage of Bahamut: Virgin Soul","TV","Card game",2017,"R - 17+ (violence & profanity)",7.42,251925,1062,"MAPPA","Action, Adventure, Fantasy"
"Tsugumomo","TV","Manga",2017,"R+ - Mild Nudity",7.04,210809,520,"Zero-G","Action, Comedy, Supernatural, Ecchi"
"Granblue Fantasy: The Animation","TV","Game",2017,"PG-13 - Teens 13 or older",6.62,207915,346,"A-1 Pictures","Action, Adventure, Fantasy"
"Fairy Tail the Movie 2: Dragon Cry","Movie","Manga",2017,"PG-13 - Teens 13 or older",7.56,200041,777,"A-1 Pictures","Action, Adventure, Fantasy"
"The Irregular at Magic High School The Movie - The Girl Who Summons The Stars","Movie","Light novel",2017,"R - 17+ (violence & profanity)",7.45,198734,449,"8bit","Action, Fantasy, Sci-Fi"
"Berserk: Season II","TV","Manga",2017,"R - 17+ (violence & profanity)",6.57,198317,523,"Millepensee, GEMBA","Action, Adventure, Drama, Fantasy, Horror"
"Natsume's Book of Friends Season 6","TV","Manga",2017,"PG-13 - Teens 13 or older",8.61,195511,1129,"Shuka","Slice of Life, Supernatural"
"Seven Mortal Sins","TV","Other",2017,"R+ - Mild Nudity",5.76,165540,361,"Artland, TNK","Action, Adventure, Fantasy, Erotica"
"Clockwork Planet","TV","Light novel",2017,"PG-13 - Teens 13 or older",6.45,164134,440,"Xebec","Fantasy, Sci-Fi"
"Sakura Quest","TV","Original",2017,"PG-13 - Teens 13 or older",7.38,154584,533,"P.A. Works","Slice of Life"
"The Royal Tutor","TV","Manga",2017,"PG-13 - Teens 13 or older",7.46,150153,855,"Bridge","Comedy"
"Sagrada Reset","TV","Light novel",2017,"PG-13 - Teens 13 or older",7.33,149806,606,"David Production","Drama, Mystery"
"Night Is Short, Walk on Girl","Movie","Novel",2017,"R+ - Mild Nudity",8.18,133567,1784,"Science SARU","Comedy, Romance"
"Anonymous Noise","TV","Manga",2017,"PG-13 - Teens 13 or older",6.95,128603,662,"Brain's Base","Drama, Romance"
"Alice & Zoroku","TV","Manga",2017,"PG-13 - Teens 13 or older",7.1,122208,242,"J.C.Staff","Adventure, Mystery"
"The Silver Guardian","TV","Web manga",2017,"PG-13 - Teens 13 or older",6.2,116052,134,"Haoliners Animation League","Adventure, Fantasy"
"Blame!: The Movie","Movie","Manga",2017,"PG-13 - Teens 13 or older",7.02,112370,314,"Polygon Pictures","Action, Drama, Sci-Fi, Suspense"
"Hinako Note","TV","4-koma manga",2017,"PG-13 - Teens 13 or older",6.78,110309,220,"Passione","Slice of Life"
"KADO: The Right Answer","TV","Original",2017,"PG-13 - Teens 13 or older",6.72,109873,185,"Toei Animation","Sci-Fi"
"Ani ni Tsukeru Kusuri wa Nai!","TV","Web manga",2017,"PG-13 - Teens 13 or older",7.48,103242,392,"Fanworks, Imagineer","Comedy"
"Kenka Bancho Otome -Girl Beats Boys-","TV","Game",2017,"PG-13 - Teens 13 or older",6.43,86760,230,"Project No.9, A-Real","Action"
"The Eccentric Family 2","TV","Novel",2017,"PG-13 - Teens 13 or older",8.07,66692,323,"P.A. Works","Comedy, Drama, Fantasy"
"Lu Over the Wall","Movie","Original",2017,"G - All Ages",7.39,56528,201,"Science SARU","Adventure, Award Winning, Supernatural"
"Free! The Movie -Timeless Medley- the Bond","Movie","Original",2017,"PG-13 - Teens 13 or older",7.59,52728,74,"Kyoto Animation, Animation Do","Sports"
"Yu-Gi-Oh! VRAINS","TV","Card game",2017,"PG-13 - Teens 13 or older",6.7,49501,268,"Gallop","Action, Fantasy, Sci-Fi"
"Frame Arms Girl","TV","Other",2017,"PG-13 - Teens 13 or older",6.36,34715,53,"Zexcs, Studio A-CAT","Action, Sci-Fi"
"Detective Conan Movie 21: The Crimson Love Letter","Movie","Manga",2017,"PG-13 - Teens 13 or older",7.68,33885,41,"TMS Entertainment","Action, Drama, Mystery, Romance"
"Atom: The Beginning","TV","Manga",2017,"PG-13 - Teens 13 or older",6.8,32387,41,"Production I.G, OLM, Signal.MD","Action, Sci-Fi"
"Room Mate","TV","Original",2017,"PG-13 - Teens 13 or older",4.73,28034,52,"Typhoon Graphics","Slice of Life"
"ChäoS;Child: Silent Sky","Movie","Visual novel",2017,"PG-13 - Teens 13 or older",6.5,25657,39,"SILVER LINK.","Mystery, Sci-Fi, Supernatural"
"The World YAMIZUKAN","TV","Original",2017,"R - 17+ (violence & profanity)",4.73,24168,23,"ILCA","Horror, Supernatural"
"RIN-NE Season 3","TV","Manga",2017,"PG-13 - Teens 13 or older",7.06,23991,21,"Brain's Base","Comedy, Supernatural"
"Resident Evil: Vendetta","Movie","Game",2017,"R - 17+ (violence & profanity)",6.96,23841,66,"Marza Animation Planet","Action, Horror, Sci-Fi"
"ID-0","TV","Original",2017,"PG-13 - Teens 13 or older",6.5,22357,22,"SANZIGEN","Sci-Fi"
"Beyblade Burst Evolution","TV","Manga",2017,"PG - Children",7.14,20985,150,"OLM","Action, Adventure, Sci-Fi"
"Kabukibu!","TV","Novel",2017,"PG-13 - Teens 13 or older",6.61,20814,22,"Studio Deen","Comedy"
"THE IDOLM@STER CINDERELLA GIRLS Theater","TV","4-koma manga",2017,"PG-13 - Teens 13 or older",6.54,19729,32,"Gathering, Lesprit","Comedy"
"The Laughing Salesman","TV","Manga",2017,"PG-13 - Teens 13 or older",6.28,19663,19,"Shin-Ei Animation","Comedy, Drama"
"Starmyu 2nd Season","TV","Original",2017,"PG-13 - Teens 13 or older",7.27,17668,72,"C-Station","Slice of Life"
"Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii","Movie","Light novel",2017,"PG-13 - Teens 13 or older",7.77,15346,27,"Studio Gokumi","Drama"
"Twin Angels Break","TV","Game",2017,"PG-13 - Teens 13 or older",5.95,14496,16,"J.C.Staff","Fantasy"
"Ninja Girl & Samurai Master 2nd","TV","4-koma manga",2017,"PG-13 - Teens 13 or older",7.16,13281,15,"TMS Entertainment","Comedy"
"Love Rice","TV","Original",2017,"PG-13 - Teens 13 or older",4.66,11782,13,"Encourage Films","Comedy, Gourmet"
"Cocolors","Movie","Original",2017,"PG-13 - Teens 13 or older",6.63,9419,16,"Kamikaze Douga","Sci-Fi"
"Free! Movie 1: Timeless Medley - Kizuna - Character Butai Aisatsu","Movie","Original",2017,"PG-13 - Teens 13 or older",6.85,7557,6,"Kyoto Animation","Comedy"
"King of Prism: Pride the Hero","Movie","Original",2017,"PG - Children",6.86,5204,13,"Tatsunoko Production","Sports"
"Yuuki Yuuna wa Yuushabu Shozoku 2","Movie","4-koma manga",2017,"PG-13 - Teens 13 or older",6.48,3982,1,"W-Toon Studio","Comedy"
"PriPri Chi-chan!!","TV","Manga",2017,"G - All Ages",6.38,3969,11,"OLM","Comedy, Sci-Fi"
"Crayon Shin-chan: Invasion!! Alien Shiriri","Movie","Manga",2017,"G - All Ages",6.94,3908,3,"Shin-Ei Animation","Adventure, Comedy, Sci-Fi"
"100% Teacher Pascal","TV","Manga",2017,"PG - Children",5.73,3233,4,"OLM","Comedy"
"Rilu Rilu Fairilu: Mahou no Kagami","TV","Original",2017,"G - All Ages",6.63,2410,5,"Studio Deen","Fantasy, Slice of Life"
"Makeruna!! Aku no Gundan!","TV","Manga",2017,"G - All Ages",5.33,2075,1,"Tatsunoko Production","Comedy"
"Duel Masters (2017)","TV","Original",2017,"PG-13 - Teens 13 or older",5.62,1921,3,"Ascension","Action, Adventure, Comedy, Fantasy"
"Osomatsu-san: Haru no Zenkoku Dai Senbatsu Jouei-sai - Sentou Quiz 2","Movie","Manga",2017,"R - 17+ (violence & profanity)",6.08,1683,2,"Pierrot","Comedy"
"Valley of White Birds","Movie","Original",2017,"G - All Ages",6.45,1594,2,"Wolf Smoke Studio","Fantasy, Supernatural"
"Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu","TV","Other",2017,"PG - Children",6.11,1277,2,"OLM","Adventure, Mystery, Sci-Fi"
"World Fool News Part II","TV","Other",2017,"PG-13 - Teens 13 or older",5.77,1273,1,"CoMix Wave Films","Comedy, Slice of Life"
"Shounen Ashibe: Go! Go! Goma-chan 2","TV","4-koma manga",2017,"G - All Ages",5.97,1194,2,"Bridge, Husio Studio","Comedy, Slice of Life"
"Dappys","TV","Original",2017,"G - All Ages",4.84,1170,8,"DLE","Comedy"
"Balala the Faries: Over the Rainbow Season 2","TV","Original",2017,"PG - Children",5.98,925,2,"Qianqi Animation","Comedy, Fantasy"
"Kamisama Minarai: Himitsu no Cocotama Movie - Kiseki wo Okose♪ Tepple to Dokidoki Cocotama-kai","Movie","Original",2017,"PG - Children",6.32,748,1,"OLM","Fantasy"
"Lights of Sand","Movie","Original",2017,"G - All Ages",5.59,528,2,"Gainax","Fantasy"
"Kakegurui","TV","Manga",2017,"R - 17+ (violence & profanity)",7.22,1550510,11197,"MAPPA","Drama, Mystery, Suspense"
"Made in Abyss","TV","Web manga",2017,"R - 17+ (violence & profanity)",8.64,1459669,45987,"Kinema Citrus","Adventure, Drama, Fantasy, Mystery, Sci-Fi"
"Classroom of the Elite","TV","Light novel",2017,"PG-13 - Teens 13 or older",7.85,1364247,19444,"Lerche","Drama, Suspense"
"No Game, No Life: Zero","Movie","Light novel",2017,"PG-13 - Teens 13 or older",8.17,903481,7868,"Madhouse","Drama, Fantasy, Romance"
"Tsuredure Children","TV","4-koma manga",2017,"PG-13 - Teens 13 or older",7.54,755620,2758,"Studio Gokumi","Comedy, Romance"
"Gamers!","TV","Light novel",2017,"PG-13 - Teens 13 or older",6.73,676244,2217,"PINE JAM","Comedy, Romance"
"In Another World With My Smartphone","TV","Light novel",2017,"PG-13 - Teens 13 or older",6.11,598697,2979,"Production Reed","Adventure, Comedy, Fantasy, Romance"
"My First Girlfriend is a Gal","TV","Manga",2017,"PG-13 - Teens 13 or older",6.27,571612,1724,"NAZ","Comedy, Romance, Ecchi"
"AHO-GIRL","TV","4-koma manga",2017,"PG-13 - Teens 13 or older",6.72,513630,1177,"Diomedéa","Comedy"
"Fate/Apocrypha","TV","Light novel",2017,"R - 17+ (violence & profanity)",7.19,494756,2640,"A-1 Pictures","Action, Fantasy"
"Love and Lies","TV","Web manga",2017,"PG-13 - Teens 13 or older",6.48,434808,1321,"LIDENFILMS","Drama, Romance"
"Welcome to the Ballroom","TV","Manga",2017,"PG-13 - Teens 13 or older",8.18,348647,3675,"Production I.G","Sports"
"Knight's & Magic","TV","Light novel",2017,"PG-13 - Teens 13 or older",7.07,278826,1051,"8bit","Action, Fantasy"
"Restaurant to Another World","TV","Light novel",2017,"PG-13 - Teens 13 or older",7.41,271894,1081,"SILVER LINK.","Fantasy, Gourmet, Slice of Life"
"New Game!!","TV","4-koma manga",2017,"PG-13 - Teens 13 or older",7.69,265017,881,"Doga Kobo","Comedy"
"Fireworks","Movie","Other",2017,"PG-13 - Teens 13 or older",6.1,221564,543,"Shaft","Romance, Sci-Fi"
"Princess Principal","TV","Original",2017,"R - 17+ (violence & profanity)",7.67,217782,2455,"Actas, Studio 3Hz","Action, Mystery"
"Clean Freak! Aoyama-kun","TV","Manga",2017,"PG-13 - Teens 13 or older",6.95,203951,374,"Studio Hibari","Comedy, Sports"
"Hitorijime My Hero","TV","Manga",2017,"PG-13 - Teens 13 or older",7.26,176410,1403,"Encourage Films","Boys Love, Drama"
"Netsuzou Trap -NTR-","TV","Manga",2017,"R+ - Mild Nudity",5.31,167753,341,"Creators in Pack","Drama, Girls Love"
"Katsugeki Touken Ranbu","TV","Game",2017,"PG-13 - Teens 13 or older",6.73,127957,472,"ufotable","Action, Fantasy"
"Mary and the Witch's Flower","Movie","Book",2017,"G - All Ages",7.26,105192,189,"Studio Ponoc","Adventure, Fantasy"
"Convenience Store Boy Friends","TV","Mixed media",2017,"PG-13 - Teens 13 or older",6.26,102799,148,"Pierrot","Romance"
"Fate/kaleid liner Prisma Illya: Vow in the Snow","Movie","Manga",2017,"PG-13 - Teens 13 or older",7.92,100771,392,"SILVER LINK.","Action, Fantasy"
"Haikyu!! The Movie: Talent and Sense","Movie","Manga",2017,"PG-13 - Teens 13 or older",8.19,98933,106,"Production I.G","Sports"
"A Centaur's Life","TV","Manga",2017,"R+ - Mild Nudity",6.42,97311,144,"Haoliners Animation League","Fantasy, Slice of Life"
"Haikyu!! The Movie: Battle of Concepts","Movie","Manga",2017,"PG-13 - Teens 13 or older",8.24,95727,89,"Production I.G","Sports"
"Altair: A Record of Battles","TV","Manga",2017,"PG-13 - Teens 13 or older",7.55,81575,334,"MAPPA","Adventure, Drama"
"Elegant Yokai Apartment Life","TV","Novel",2017,"PG-13 - Teens 13 or older",7.18,70433,221,"Shin-Ei Animation","Slice of Life, Supernatural"
"Chronos Ruler","TV","Manga",2017,"PG-13 - Teens 13 or older",6.3,70122,91,"Project No.9","Action, Supernatural"
"Hell Girl: Fourth Twilight","TV","Original",2017,"R - 17+ (violence & profanity)",6.62,64223,92,"Studio Deen","Horror, Mystery, Supernatural"
"Seitokai Yakuindomo Movie","Movie","4-koma manga",2017,"R - 17+ (violence & profanity)",7.82,63654,77,"GoHands","Comedy"
"Pokémon the Movie: I Choose You!","Movie","Game",2017,"PG - Children",7.15,63191,70,"OLM","Action, Adventure, Comedy"
"18if","TV","Mixed media",2017,"R - 17+ (violence & profanity)",6.11,58796,108,"Gonzo","Mystery, Supernatural"
"DIVE!!","TV","Novel",2017,"PG-13 - Teens 13 or older",6.08,54507,75,"Zero-G","Drama, Sports"
"Digimon Adventure tri. Coexistence","Movie","Original",2017,"PG-13 - Teens 13 or older",7.16,53266,30,"Toei Animation","Action, Adventure, Comedy, Drama"
"Vatican Miracle Examiner","TV","Novel",2017,"R - 17+ (violence & profanity)",6.4,48457,97,"J.C.Staff","Drama, Mystery, Supernatural"
"Free! The Movie -Timeless Medley- the Promise","Movie","Original",2017,"PG-13 - Teens 13 or older",7.65,45449,60,"Kyoto Animation, Animation Do","Sports"
"Nora, Princess, and Stray Cat","TV","Visual novel",2017,"PG-13 - Teens 13 or older",5.4,43163,34,"W-Toon Studio, DMM.futureworks","Comedy, Ecchi"
"Saiyuki Reload Blast","TV","Manga",2017,"PG-13 - Teens 13 or older",7.21,42147,107,"Platinum Vision","Action, Adventure, Comedy, Drama, Supernatural"
"Your Voice -KIMIKOE-","Movie","Original",2017,"PG-13 - Teens 13 or older",6.97,40789,63,"Madhouse","Drama"
"Symphogear AXZ","TV","Original",2017,"PG-13 - Teens 13 or older",7.61,38473,298,"Satelight","Action, Sci-Fi"
"Magical Circle","TV","Manga",2017,"PG-13 - Teens 13 or older",7.8,34245,240,"Production I.G","Adventure, Comedy, Fantasy"
"Sound! Euphonium the Movie: May the Melody Reach You!","Movie","Novel",2017,"PG-13 - Teens 13 or older",7.85,34026,35,"Kyoto Animation","Drama"
"No Game, No Life: Zero - Manner Movie","Movie","Light novel",2017,"G - All Ages",6.79,32052,46,"Studio PuYUKAI","Comedy"
"Hina Logic – from Luck & Logic","TV","Card game",2017,"PG-13 - Teens 13 or older",6.64,31428,79,"Doga Kobo","Action, Comedy, Fantasy"
"The Reflection","TV","Original",2017,"PG-13 - Teens 13 or older",5.12,29937,12,"Studio Deen","Action"
"Theatre of Darkness: Yamishibai 5","TV","Original",2017,"PG-13 - Teens 13 or older",6.33,28131,11,"ILCA","Avant Garde, Horror, Supernatural"
"Battle Girl High School","TV","Game",2017,"PG-13 - Teens 13 or older",5.84,25189,43,"SILVER LINK.","Action, Sci-Fi"
"Eureka Seven Hi-Evolution 1","Movie","Original",2017,"PG-13 - Teens 13 or older",6.17,18930,24,"Bones","Adventure, Drama, Sci-Fi"
"Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku","Movie","Light novel",2017,"PG-13 - Teens 13 or older",7.96,15606,43,"Studio Gokumi","Drama"
"Teekyu 9","TV","Manga",2017,"PG-13 - Teens 13 or older",6.56,15293,15,"Millepensee","Comedy"
"Action Heroine Cheer Fruits","TV","Original",2017,"PG-13 - Teens 13 or older",6.52,15292,23,"Diomedéa","Comedy, Slice of Life"
"Magical Girl Lyrical Nanoha Reflection","Movie","Original",2017,"PG-13 - Teens 13 or older",7.44,14808,39,"Seven Arcs Pictures","Action, Drama, Sci-Fi"
"Lights of the Clione","TV","Novel",2017,"PG-13 - Teens 13 or older",5.39,13820,7,"drop","Drama"
"Ikemen Sengoku: Bromances Across Time","TV","Game",2017,"PG-13 - Teens 13 or older",6.26,9179,40,"TMS Entertainment, Jinnis Animation Studios","Romance"
"Free! Movie 2: Timeless Medley - Yakusoku: Character Butai Aisatsu","Movie","Original",2017,"PG-13 - Teens 13 or older",6.78,7222,4,"Kyoto Animation","Comedy"
"The Irresponsible Galaxy☆Tylor","TV","Light novel",2017,"PG-13 - Teens 13 or older",3.88,6420,1,"Seven","Comedy, Sci-Fi"
"Pikotaro's Lullaby La La By (TV)","TV","Original",2017,"G - All Ages",5.6,5826,10,"DLE","Comedy"
"Marvel Future Avengers","TV","Other",2017,"PG - Children",5.77,5408,13,"Madhouse","Action"
"Hibike! Euphonium Movie: Photo Session e Youkoso","Movie","Novel",2017,"PG-13 - Teens 13 or older",6.2,4606,4,"Kyoto Animation","Comedy"
