"title_english","type","source","year","rating","score","members","favorites","studios","genres"
"Gundam Reconguista in G I: Go! Core Fighter","Movie","Original",2019,"PG-13 - Teens 13 or older",6.54,4980,4,"Sunrise","Action, Sci-Fi"
"Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete","Movie","Original",2019,"G - All Ages",7.79,4905,19,"Toei Animation","Action"
"Zoids Wild Zero","TV","Other",2019,"PG - Children",5.97,4868,12,"OLM","Action, Adventure, Comedy, Sci-Fi"
"Soukyuu no Fafner: Dead Aggressor - The Beyond Part 2","Movie","Original",2019,"PG-13 - Teens 13 or older",7.3,4613,4,"Production I.G, I.Gzwei","Action, Drama, Sci-Fi"
"Sumikko Gurashi Movie 1: Tobidasu Ehon to Himitsu no Ko","Movie","Other",2019,"G - All Ages",7.11,1916,15,"Fanworks","Comedy"
"Shinkansen Henkei Robo Shinkalion: Mirai kara Kita Shinsoku no ALFA-X","Movie","Other",2019,"PG - Children",6.59,1576,1,"OLM","Action, Sci-Fi"
"Santa Company: Christmas no Himitsu","Movie","Original",2019,"PG - Children",6,1419,0,"Asahi Production","Fantasy"
"Youkai Watch Movie 6: Youkai Gakuen Y - Neko wa Hero ni Nareru ka","Movie","Game",2019,"PG - Children",6.07,1352,2,"OLM","Comedy, Supernatural"
"Go Astro Boy Go!","TV","Manga",2019,"PG - Children",5.87,1206,0,"Tezuka Productions, Planet Nemo Animation","Action, Adventure, Drama, Sci-Fi"
"Shishigari","Movie","Original",2019,"PG-13 - Teens 13 or older",6.86,439,1,"Studio DURIAN","Adventure, Suspense"
"Haikyu!! To the Top","TV","Manga",2020,"PG-13 - Teens 13 or older",8.37,992979,5399,"Production I.G","Sports"
"Toilet-Bound Hanako-kun","TV","Manga",2020,"PG-13 - Teens 13 or older",7.83,632185,12262,"Lerche","Supernatural"
"Darwin's Game","TV","Manga",2020,"R - 17+ (violence & profanity)",7.21,587785,2647,"Nexus","Action, Mystery, Sci-Fi, Suspense"
"Dorohedoro","TV","Manga",2020,"R - 17+ (violence & profanity)",8.05,587397,9606,"MAPPA","Action, Comedy, Fantasy, Horror"
"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.","TV","Light novel",2020,"PG-13 - Teens 13 or older",7.51,568087,3820,"SILVER LINK.","Action, Adventure, Comedy, Fantasy"
"In/Spectre","TV","Manga",2020,"R - 17+ (violence & profanity)",6.92,505878,1419,"Brain's Base","Mystery, Romance, Supernatural"
"Made in Abyss: Dawn of the Deep Soul","Movie","Web manga",2020,"R - 17+ (violence & profanity)",8.61,497583,3805,"Kinema Citrus","Adventure, Drama, Fantasy, Mystery, Sci-Fi"
"Interspecies Reviewers","TV","Web manga",2020,"R+ - Mild Nudity",7.41,489643,9520,"Passione","Comedy, Fantasy, Erotica"
"Plunderer","TV","Manga",2020,"PG-13 - Teens 13 or older",6.64,462203,1584,"Geek Toys","Action, Fantasy, Romance, Ecchi"
"ID: INVADED","TV","Original",2020,"R - 17+ (violence & profanity)",7.82,393809,3022,"NAZ","Mystery, Sci-Fi, Suspense"
"Science Fell in Love, So I Tried to Prove It","TV","Web manga",2020,"PG-13 - Teens 13 or older",7.34,373130,1155,"Zero-G","Comedy, Romance"
"Keep Your Hands Off Eizouken!","TV","Manga",2020,"PG-13 - Teens 13 or older",8.13,352306,4373,"Science SARU","Adventure, Award Winning, Comedy"
"Goblin Slayer: Goblin's Crown","Movie","Light novel",2020,"R - 17+ (violence & profanity)",7.26,307507,483,"White Fox","Action, Adventure, Fantasy"
"Somali and the Forest Spirit","TV","Web manga",2020,"PG-13 - Teens 13 or older",7.82,304141,1779,"Satelight, HORNETS","Adventure, Drama, Fantasy"
"Isekai Quartet 2","TV","Original",2020,"PG-13 - Teens 13 or older",7.36,244015,261,"Studio PuYUKAI","Comedy, Fantasy"
"A Certain Scientific Railgun T","TV","Manga",2020,"R - 17+ (violence & profanity)",8.15,243215,3315,"J.C.Staff","Action, Fantasy, Sci-Fi"
"Seton Academy: Join the Pack!","TV","Web manga",2020,"PG-13 - Teens 13 or older",6.92,209435,537,"Studio Gokumi","Comedy, Ecchi"
"Infinite Dendrogram","TV","Light novel",2020,"PG-13 - Teens 13 or older",6.2,189698,295,"NAZ","Action, Adventure, Fantasy"
"Nekopara","TV","Visual novel",2020,"PG-13 - Teens 13 or older",6.72,181330,833,"Felix Film","Slice of Life"
"Magia Record: Puella Magi Madoka Magica Side Story","TV","Game",2020,"PG-13 - Teens 13 or older",6.82,169133,907,"Shaft","Drama, Suspense"
"Smile Down the Runway","TV","Manga",2020,"PG-13 - Teens 13 or older",7.55,134008,428,"Ezόla","Drama"
"Room Camp","TV","Manga",2020,"PG-13 - Teens 13 or older",7.36,102400,148,"C-Station","Slice of Life"
"Pet","TV","Manga",2020,"R - 17+ (violence & profanity)",6.44,96535,260,"Geno Studio","Mystery, Supernatural, Suspense"
"Asteroid in Love","TV","4-koma manga",2020,"PG-13 - Teens 13 or older",6.88,92911,324,"Doga Kobo","Slice of Life"
"Sorcerous Stabber Orphen","TV","Light novel",2020,"PG-13 - Teens 13 or older",5.83,75095,67,"Studio Deen","Action, Adventure, Drama, Fantasy"
"The Case Files of Jeweler Richard","TV","Novel",2020,"PG-13 - Teens 13 or older",7.2,70763,297,"Shuka","Drama, Mystery"
"number24","TV","Original",2020,"PG-13 - Teens 13 or older",6.73,65274,269,"PRA","Sports"
"A Destructive God Sits Next to Me","TV","Manga",2020,"PG-13 - Teens 13 or older",6.62,62167,268,"EMT Squared","Comedy"
"Shirobako Movie","Movie","Original",2020,"PG-13 - Teens 13 or older",7.65,53530,73,"P.A. Works","Comedy, Drama"
"Drifting Dragons","TV","Manga",2020,"PG-13 - Teens 13 or older",6.95,49072,111,"Polygon Pictures","Adventure, Fantasy"
"22/7","TV","Other",2020,"PG-13 - Teens 13 or older",6.79,49056,226,"A-1 Pictures","Drama"
"If My Favorite Pop Idol Made It to the Budokan, I Would Die","TV","Manga",2020,"PG-13 - Teens 13 or older",7.42,48073,344,"8bit","Comedy"
"Digimon Adventure: Last Evolution Kizuna","Movie","Original",2020,"PG-13 - Teens 13 or older",8.17,47560,338,"Yumeta Company","Action, Adventure, Comedy, Drama"
"Hatena Illusion","TV","Light novel",2020,"PG-13 - Teens 13 or older",5.42,46014,32,"Children's Playground Entertainment","Comedy, Romance, Supernatural"
"Twittering Birds Never Fly","Movie","Manga",2020,"R+ - Mild Nudity",7.37,41699,355,"GRIZZLY","Boys Love, Drama, Erotica"
"A3! Season Spring & Summer","TV","Game",2020,"PG-13 - Teens 13 or older",7.1,37005,285,"P.A. Works, Studio 3Hz","Drama"
"Marulk's Daily Life","Movie","Manga",2020,"PG-13 - Teens 13 or older",6.77,27296,16,"Kinema Citrus","Adventure, Fantasy"
"Sekaiichi Hatsukoi: Propose-hen","Movie","Manga",2020,"PG-13 - Teens 13 or older",7.47,27259,100,"Studio Deen","Boys Love"
"The Island of Giant Insects Movie","Movie","Web manga",2020,"R+ - Mild Nudity",4.58,26393,25,"Passione","Horror, Suspense"
"Uchitama?! Have you seen my Tama?","TV","Original",2020,"PG-13 - Teens 13 or older",6.94,24989,79,"MAPPA, Lapin Track","Slice of Life"
"Natsunagu!","TV","Original",2020,"PG-13 - Teens 13 or older",5.87,24842,19,"IMAGICA Lab.","Drama"
"Oda Cinnamon Nobunaga","TV","Manga",2020,"PG-13 - Teens 13 or older",6.58,22121,39,"Studio Signpost","Comedy"
"Yatogame-chan Kansatsu Nikki 2","TV","4-koma manga",2020,"PG-13 - Teens 13 or older",6.36,20191,5,"Saetta","Comedy"
"High School Fleet Movie","Movie","Original",2020,"PG-13 - Teens 13 or older",7.62,18571,79,"A-1 Pictures","Action"
